-3.14	-0.00	0.00
-3.12	-0.02	0.00
-3.10	-0.04	0.00
-3.08	-0.06	0.00
-3.06	-0.08	0.01
-3.04	-0.10	0.01
-3.02	-0.12	0.01
-3.00	-0.14	0.02
-2.98	-0.16	0.03
-2.96	-0.18	0.03
-2.94	-0.20	0.04
-2.92	-0.22	0.05
-2.90	-0.24	0.06
-2.88	-0.26	0.07
-2.86	-0.28	0.08
-2.84	-0.30	0.09
-2.82	-0.31	0.10
-2.80	-0.33	0.11
-2.78	-0.35	0.12
-2.76	-0.37	0.14
-2.74	-0.39	0.15
-2.72	-0.41	0.17
-2.70	-0.43	0.18
-2.68	-0.44	0.20
-2.66	-0.46	0.21
-2.64	-0.48	0.23
-2.62	-0.50	0.25
-2.60	-0.51	0.26
-2.58	-0.53	0.28
-2.56	-0.55	0.30
-2.54	-0.56	0.32
-2.52	-0.58	0.34
-2.50	-0.60	0.36
-2.48	-0.61	0.38
-2.46	-0.63	0.40
-2.44	-0.64	0.42
-2.42	-0.66	0.43
-2.40	-0.67	0.45
-2.38	-0.69	0.47
-2.36	-0.70	0.49
-2.34	-0.72	0.51
-2.32	-0.73	0.53
-2.30	-0.74	0.55
-2.28	-0.76	0.57
-2.26	-0.77	0.59
-2.24	-0.78	0.61
-2.22	-0.80	0.63
-2.20	-0.81	0.65
-2.18	-0.82	0.67
-2.16	-0.83	0.69
-2.14	-0.84	0.71
-2.12	-0.85	0.73
-2.10	-0.86	0.74
-2.08	-0.87	0.76
-2.06	-0.88	0.78
-2.04	-0.89	0.79
-2.02	-0.90	0.81
-2.00	-0.91	0.83
-1.98	-0.92	0.84
-1.96	-0.92	0.85
-1.94	-0.93	0.87
-1.92	-0.94	0.88
-1.90	-0.95	0.89
-1.88	-0.95	0.91
-1.86	-0.96	0.92
-1.84	-0.96	0.93
-1.82	-0.97	0.94
-1.80	-0.97	0.95
-1.78	-0.98	0.96
-1.76	-0.98	0.96
-1.74	-0.99	0.97
-1.72	-0.99	0.98
-1.70	-0.99	0.98
-1.68	-0.99	0.99
-1.66	-1.00	0.99
-1.64	-1.00	0.99
-1.62	-1.00	1.00
-1.60	-1.00	1.00
-1.58	-1.00	1.00
-1.56	-1.00	1.00
-1.54	-1.00	1.00
-1.52	-1.00	1.00
-1.50	-1.00	1.00
-1.48	-1.00	0.99
-1.46	-0.99	0.99
-1.44	-0.99	0.98
-1.42	-0.99	0.98
-1.40	-0.99	0.97
-1.38	-0.98	0.96
-1.36	-0.98	0.96
-1.34	-0.97	0.95
-1.32	-0.97	0.94
-1.30	-0.96	0.93
-1.28	-0.96	0.92
-1.26	-0.95	0.91
-1.24	-0.95	0.90
-1.22	-0.94	0.88
-1.20	-0.93	0.87
-1.18	-0.93	0.86
-1.16	-0.92	0.84
-1.14	-0.91	0.83
-1.12	-0.90	0.81
-1.10	-0.89	0.80
-1.08	-0.88	0.78
-1.06	-0.87	0.76
-1.04	-0.86	0.75
-1.02	-0.85	0.73
-1.00	-0.84	0.71
-0.98	-0.83	0.69
-0.96	-0.82	0.67
-0.94	-0.81	0.65
-0.92	-0.80	0.63
-0.90	-0.78	0.62
-0.88	-0.77	0.60
-0.86	-0.76	0.58
-0.84	-0.75	0.56
-0.82	-0.73	0.54
-0.80	-0.72	0.52
-0.78	-0.70	0.50
-0.76	-0.69	0.48
-0.74	-0.68	0.46
-0.72	-0.66	0.44
-0.70	-0.65	0.42
-0.68	-0.63	0.40
-0.66	-0.61	0.38
-0.64	-0.60	0.36
-0.62	-0.58	0.34
-0.60	-0.57	0.32
-0.58	-0.55	0.30
-0.56	-0.53	0.28
-0.54	-0.52	0.27
-0.52	-0.50	0.25
-0.50	-0.48	0.23
-0.48	-0.46	0.21
-0.46	-0.45	0.20
-0.44	-0.43	0.18
-0.42	-0.41	0.17
-0.40	-0.39	0.15
-0.38	-0.37	0.14
-0.36	-0.35	0.13
-0.34	-0.33	0.11
-0.32	-0.32	0.10
-0.30	-0.30	0.09
-0.28	-0.28	0.08
-0.26	-0.26	0.07
-0.24	-0.24	0.06
-0.22	-0.22	0.05
-0.20	-0.20	0.04
-0.18	-0.18	0.03
-0.16	-0.16	0.03
-0.14	-0.14	0.02
-0.12	-0.12	0.01
-0.10	-0.10	0.01
-0.08	-0.08	0.01
-0.06	-0.06	0.00
-0.04	-0.04	0.00
-0.02	-0.02	0.00
-0.00	-0.00	0.00
0.02	0.02	0.00
0.04	0.04	0.00
0.06	0.06	0.00
0.08	0.08	0.01
0.10	0.10	0.01
0.12	0.12	0.01
0.14	0.14	0.02
0.16	0.16	0.02
0.18	0.18	0.03
0.20	0.20	0.04
0.22	0.22	0.05
0.24	0.24	0.06
0.26	0.26	0.07
0.28	0.27	0.08
0.30	0.29	0.09
0.32	0.31	0.10
0.34	0.33	0.11
0.36	0.35	0.12
0.38	0.37	0.14
0.40	0.39	0.15
0.42	0.41	0.17
0.44	0.42	0.18
0.46	0.44	0.20
0.48	0.46	0.21
0.50	0.48	0.23
0.52	0.50	0.25
0.54	0.51	0.26
0.56	0.53	0.28
0.58	0.55	0.30
0.60	0.56	0.32
0.62	0.58	0.34
0.64	0.60	0.36
0.66	0.61	0.37
0.68	0.63	0.39
0.70	0.64	0.41
0.72	0.66	0.43
0.74	0.67	0.45
0.76	0.69	0.47
0.78	0.70	0.49
0.80	0.72	0.51
0.82	0.73	0.53
0.84	0.74	0.55
0.86	0.76	0.57
0.88	0.77	0.59
0.90	0.78	0.61
0.92	0.79	0.63
0.94	0.81	0.65
0.96	0.82	0.67
0.98	0.83	0.69
1.00	0.84	0.71
1.02	0.85	0.72
1.04	0.86	0.74
1.06	0.87	0.76
1.08	0.88	0.78
1.10	0.89	0.79
1.12	0.90	0.81
1.14	0.91	0.82
1.16	0.92	0.84
1.18	0.92	0.85
1.20	0.93	0.87
1.22	0.94	0.88
1.24	0.95	0.89
1.26	0.95	0.91
1.28	0.96	0.92
1.30	0.96	0.93
1.32	0.97	0.94
1.34	0.97	0.95
1.36	0.98	0.96
1.38	0.98	0.96
1.40	0.99	0.97
1.42	0.99	0.98
1.44	0.99	0.98
1.46	0.99	0.99
1.48	1.00	0.99
1.50	1.00	0.99
1.52	1.00	1.00
1.54	1.00	1.00
1.56	1.00	1.00
1.58	1.00	1.00
1.60	1.00	1.00
1.62	1.00	1.00
1.64	1.00	1.00
1.66	1.00	0.99
1.68	0.99	0.99
1.70	0.99	0.98
1.72	0.99	0.98
1.74	0.99	0.97
1.76	0.98	0.97
1.78	0.98	0.96
1.80	0.97	0.95
1.82	0.97	0.94
1.84	0.96	0.93
1.86	0.96	0.92
1.88	0.95	0.91
1.90	0.95	0.90
1.92	0.94	0.88
1.94	0.93	0.87
1.96	0.93	0.86
1.98	0.92	0.84
2.00	0.91	0.83
2.02	0.90	0.81
2.04	0.89	0.80
2.06	0.88	0.78
2.08	0.87	0.76
2.10	0.86	0.75
2.12	0.85	0.73
2.14	0.84	0.71
2.16	0.83	0.69
2.18	0.82	0.67
2.20	0.81	0.66
2.22	0.80	0.64
2.24	0.79	0.62
2.26	0.77	0.60
2.28	0.76	0.58
2.30	0.75	0.56
2.32	0.73	0.54
2.34	0.72	0.52
2.36	0.71	0.50
2.38	0.69	0.48
2.40	0.68	0.46
2.42	0.66	0.44
2.44	0.65	0.42
2.46	0.63	0.40
2.48	0.62	0.38
2.50	0.60	0.36
2.52	0.58	0.34
2.54	0.57	0.32
2.56	0.55	0.30
2.58	0.53	0.29
2.60	0.52	0.27
2.62	0.50	0.25
2.64	0.48	0.23
2.66	0.46	0.22
2.68	0.45	0.20
2.70	0.43	0.18
2.72	0.41	0.17
2.74	0.39	0.15
2.76	0.37	0.14
2.78	0.36	0.13
2.80	0.34	0.11
2.82	0.32	0.10
2.84	0.30	0.09
2.86	0.28	0.08
